"time","revolute1.w","revolute1.tau","revolute1.frame_b.f[3]","revolute1.frame_b.f[1]","revolute1.frame_b.f[2]"
0,0,-10.29626840111029,-41.3813715868411,-11.16485952497652,-3.087084730591309e-12
0.00400082,-2.535420972352489e-19,-10.29626840110723,-41.38137158683499,-11.16485952497143,3.021171653624689e-14
0.00800165,-1.428186945904829e-19,-10.29626840110716,-41.38137158683484,-11.16485952497131,2.329218844066312e-13
0.0120025,-1.170095240087723e-19,-10.29626840110719,-41.3813715868349,-11.16485952497136,1.798087695275996e-13
0.0160033,-9.504650509902663e-20,-10.29626840110735,-41.38137158683523,-11.16485952497163,1.214750945459224e-13
0.0200041,-5.720548479334176e-20,-10.29626840110719,-41.38137158683489,-11.16485952497135,8.973039922967752e-14
0.0240049,-4.51391112722906e-20,-10.29626840110727,-41.38137158683504,-11.16485952497148,7.405426605144393e-14
0.0280058,-3.677935114417219e-20,-10.29626840110734,-41.3813715868352,-11.16485952497161,2.44065290701434e-14
0.0320066,-0.001056791884350214,-11.33085139530327,-43.4686011840485,-12.6344016825711,-3.782997402663544e-17
0.0360074,-0.0109705090823982,-16.89121827017612,-54.68643162721,-20.53264826547457,-5.488934812556225e-16
0.0400082,-0.04260727917772136,-24.78628907555456,-70.61436242364614,-31.7510449944768,3.512930767226547e-15
0.0440091,-0.1003119411017369,-33.14856272717023,-87.48467460345745,-43.64378621651579,1.981922623336186e-15
0.0480099,-0.1846742175525153,-41.53797817170094,-104.409456951249,-55.59501713916129,1.825476897915852e-13
0.0520107,-0.2956145969103469,-49.89256354554948,-121.2635032681952,-67.52918260967856,-5.536617740609475e-14
0.0560115,-0.4329564904991824,-58.21942832215468,-138.0610296166778,-79.47011999928326,1.198740013248794e-13
0.0600124,-0.5964755486351996,-66.51910324541331,-154.8028103653716,-91.43645110597997,1.96224483727849e-13
0.0640132,-0.7858706846353761,-74.77941010278167,-171.4640147333395,-103.4295604344628,-1.985427975751666e-14
0.068014,-1.000724887992199,-82.98253420908613,-188.0082624509283,-115.4460961062278,-1.572071114289857e-14
0.0720148,-1.240481253545622,-91.1109627763942,-204.3996834412596,-127.4846241235579,5.654703492088802e-14
0.0760157,-1.504444871308701,-99.15645810590935,-220.6209297382754,-139.5590354785227,-4.166528405279889e-14
0.0800165,-1.791941662494709,-107.0797305588044,-236.5917848557746,-151.6398831882076,-7.907481552594847e-14
0.0840173,-2.09732060908002,-112.0370783044646,-246.574271638964,-159.6218089677894,-8.119146309391948e-14
0.0880181,-2.408075794769585,-112.9267717456116,-248.344685351195,-161.8587641569437,-1.400310770788221e-14
0.0920189,-2.71468511748924,-112.4030145819658,-247.2564242143266,-162.1703891563153,3.59907650673273e-13
0.0960198,-3.013933002543241,-111.5897417115554,-245.5756090043961,-162.1847284471955,1.455184420585091e-13
0.100021,-3.30437507973006,-110.7260711466551,-243.7831600654861,-162.2490616732594,-2.890727609808658e-13
0.104021,-3.58474223260892,-109.780983282222,-241.8148777445101,-162.3143657237086,4.726471760813967e-13
0.108022,-3.853563413451964,-108.7623248601108,-239.6848756220218,-162.3890547155855,3.67916110150993e-14
0.112023,-4.109248672223333,-107.6512676567946,-237.3534050113414,-162.4406424805193,-1.054629507092745e-14
0.116024,-4.350042942945293,-106.4436789966047,-234.8104092295221,-162.4568789076677,-4.864603145383115e-15
0.120025,-4.574096540192032,-105.117932901972,-232.0103612396045,-162.4003944563105,-2.675189170160778e-14
0.124026,-4.779332887586545,-103.7041124498104,-229.0125170627894,-162.3069542124374,5.429699884935174e-14
0.128026,-4.963689904978676,-102.1653450130126,-225.7407768940664,-162.1130093552818,6.563927516735277e-14
0.132027,-5.125042215710996,-100.5626066674743,-222.3170421560126,-161.9005328757461,-2.484720454299453e-14
0.136028,-5.26029396133774,-98.12357196669505,-217.1834035829808,-160.4109041788992,-6.471054423151283e-15
0.140029,-5.360304191082333,-91.85864573364677,-204.3150084529234,-152.7372702496937,-5.119466612708916e-14
0.14403,-5.415327594914462,-83.44778971805596,-187.1038587017418,-141.4812113201283,-5.310165386258246e-14
0.14803,-5.422153811264103,-74.74393025618703,-169.290702443097,-129.5943231377075,-1.726363412801564e-14
0.152031,-5.3816947516278,-66.26246425696652,-151.9191987439957,-117.8962925938638,-1.43577109341285e-13
0.156032,-5.296083463715619,-58.07442833830824,-135.1372306400281,-106.4943517991065,1.586650135671172e-13
0.160033,-5.168127102028407,-50.22293259951309,-119.0370019093413,-95.4484387430265,-5.14942133987273e-13
0.164034,-5.001211872991903,-42.70334138377768,-103.6141686915532,-84.74998453482149,-3.880604437704229e-13
0.168035,-4.799236091030283,-35.55767808637108,-88.95860247932814,-74.46615780004861,3.67720394796292e-14
0.172035,-4.566560821120367,-28.77872598915419,-75.06023644221446,-64.59328547750714,-3.963908094382366e-14
0.176036,-4.307843289372986,-22.38302328280109,-61.95667570807186,-55.1659993242643,-1.061372685917087e-14
0.180037,-4.0280347679657,-16.42884178278161,-49.76852283853661,-46.29449467810166,4.672485675440719e-16
0.184038,-3.732230655795469,-10.85534723494819,-38.37570045758315,-37.89989382532561,-1.428385191793575e-13
0.188039,-3.425645882175524,-6.027561452702648,-28.51335047094578,-30.59295763697232,1.751055843019983e-13
0.19204,-3.113186486282804,-1.376954019134248,-19.03885810952745,-23.47725176353203,4.392854211957606e-14
0.19604,-2.799023683266877,3.014933244857477,-10.11708838831423,-16.70664673399286,4.5385927454301e-13
0.200041,-2.487268182844368,7.112619011401319,-1.818159041466513,-10.3753642009228,-3.339163978899262e-17
0.204042,-2.181777119374945,10.85334529246637,5.732749272333299,-4.59740368071448,-1.070280206577368e-12
0.208043,-1.886021375305162,14.31219656585606,12.68864367379035,0.7168122964870474,4.33754670975549e-13
0.212044,-1.603044552308417,17.46814548459165,19.00928142421666,5.523078489234434,2.588160133620653e-13
0.216044,-1.335427815990557,20.35938591533869,24.77397606060561,9.864178640695295,-1.059092118969568e-12
0.220045,-1.085319179662897,23.03935550049066,30.09295085392286,13.8028548624082,-1.567298500640995e-13
0.224046,-0.8544784038864535,25.49141779049983,34.93475477892161,17.32199051394183,2.563261709303587e-13
0.228047,-0.6442894762295595,27.76173227260102,39.39536610648359,20.4763500409052,2.169881990587994e-14
0.232048,-0.455768502469096,29.81953090569877,43.41464659430532,23.2451972315152,-2.569498936808099e-13
0.236049,-0.2902111128281199,31.21413174558212,46.0900570397624,25.10433322940489,-4.781704434750015e-14
0.240049,-0.1408554673038099,31.27473939346058,46.1032030902437,25.02657815564594,3.19080384927354e-14
0.24405,-0.02356507369370427,31.90754421783095,47.29498897756538,25.21160357951939,1.778657443811395e-14
0.248051,0.07684857098630266,30.54682842785074,44.47107300252707,23.31474516287445,1.820645298183673e-14
0.252052,0.1606048942722532,28.28005851245668,39.821813232366,20.61466289674599,-2.480079954389434e-13
0.256053,0.2262394925591827,26.47113826560309,36.09899858460905,18.45918831750651,-1.002739732003763e-13
0.260054,0.2759772774723595,25.02562437872114,33.11241679458453,16.72351672756778,-1.907018353795769e-13
0.264054,0.3115564497841507,23.80226258917158,30.57746510921556,15.25412842536281,-4.266521756703336e-14
0.268055,0.3343908541231145,22.71423204785139,28.31927639660158,13.96061028474957,-5.623212554283222e-15
0.272056,0.3457506884804682,21.72655269769163,26.26802465234557,12.79976847668755,3.022017232485883e-12
0.276057,0.34657317015572,21.11279357649419,24.96733445298883,12.07497671463621,-1.082566945650026e-12
0.280058,0.3358289979578575,21.99514880335762,26.64743687963754,12.99544410092614,-7.988570460132783e-14
0.284058,0.3116947094062105,23.72957402956167,30.02614867659237,14.80519043014525,-1.115293489976714e-14
0.288059,0.2736252514488222,25.69547133228599,33.87061427297684,16.81801272098355,2.485367638458452e-12
0.29206,0.2226331508028989,26.74063555825978,35.8863356308417,17.89575415032123,1.892490666175299e-12
0.296061,0.1616977228878012,26.26096677999676,34.87580511197032,17.44855875972049,-4.276319337588335e-13
0.300062,0.08837773829548862,24.08698761204059,30.48280570050465,15.55226297978195,3.708601829703369e-12
0.304063,0.01469462180155459,21.15900998484029,24.56711040084254,13.28080745184083,-6.936662535941406e-13
0.308063,-0.0650125867533614,23.54021065372283,29.29781887857003,15.66541671339205,-3.864063660162622e-14
